frame_index,ball_id,x,y,w,h,visible,held,keyframe
0,0,675.565,418.69,79.95,89.38,1,0,1
0,1,511.19,1152.045,83.86,84.17,1,1,1
0,2,364.81,993.655,54.82,77.39,1,1,1
1,0,677.725,422.565,79.61,88.97,1,0,1
1,1,508.54,1122.71,81.08,81.68,1,1,1
1,2,363.44,1007.94,56.12,72.54,1,1,1
2,0,681.88,429.08,80.14,89.08,1,0,1
2,1,506.075,1094.155,79.97,80.01,1,1,1
2,2,363.69,1025.56,57.94,73.28,1,1,1
3,0,685.505,436.06,81.07,88.54,1,0,1
3,1,504.04,1063.955,79.8,79.03,1,1,1
3,2,363.12,1041.89,58.52,75.68,1,1,1
4,0,689.52,441.885,81.48,90.43,1,0,1
4,1,502.37,1033.685,79.76,77.19,1,1,1
4,2,362.525,1057.735,62.73,71.55,1,1,1
5,0,692.86,451.08,81.7,91.06,1,0,1
5,1,502.095,1003.77,82.51,76.44,1,1,1
5,2,361.495,1065.725,65.71,55.71,1,1,1
6,0,696.395,459.895,81.77,89.93,1,0,1
6,1,501.365,974.82,82.33,77.92,1,1,1
6,2,363.56,1078.97,65.42,48.08,1,1,1
7,0,699.325,470.08,80.71,90.08,1,0,1
7,1,501.47,946.45,82.34,77.7,1,1,1
7,2,364.605,1097.97,64.97,46.54,1,1,1
8,0,702.155,479.955,79.51,89.31,1,0,1
8,1,501.475,921.225,82.65,77.15,1,0,1
8,2,365.77,1119.89,66.14,50.42,1,1,1
9,0,705.85,492.12,80.38,88.72,1,0,1
9,1,500.86,893.635,82.96,72.51,1,0,1
9,2,368.825,1143.015,67.19,54.07,1,1,1
10,0,709.41,504.255,81.06,89.61,1,0,1
10,1,500.53,869.63,83.54,81.66,1,0,1
10,2,369.215,1162.665,67.73,54.41,1,1,1
11,0,712.95,517.11,80.94,87.88,1,0,1
11,1,499.45,848.785,83.06,82.85,1,0,1
11,2,371.81,1183.1,67.62,56.94,1,1,1
12,0,716.405,530.965,78.97,86.33,1,0,1
12,1,500.28,826.24,84.06,85.3,1,0,1
12,2,374.21,1206.31,69.06,60.46,1,1,1
13,0,721.04,545.545,80.44,84.69,1,0,1
13,1,500.545,802.84,84.91,83.4,1,0,1
13,2,376.43,1227.79,69.48,64.16,1,1,1
14,0,723.96,561.015,79.48,85.37,1,0,1
14,1,499.9,779.48,85.08,80.68,1,0,1
14,2,378.575,1249.175,70.31,66.91,1,1,1
15,0,728.005,575.11,79.57,80.48,1,0,1
15,1,500.205,759.875,83.93,81.91,1,0,1
15,2,380.95,1268.045,71.4,67.13,1,1,1
16,0,731.31,592.41,79.3,78.52,1,0,1
16,1,499.46,740.205,84.28,82.65,1,0,1
16,2,383.35,1286.545,71.46,68.53,1,1,1
17,0,734.615,609.905,78.09,77.95,1,0,1
17,1,499.58,718.84,83.46,81.18,1,0,1
17,2,385.34,1303.91,71.76,68.18,1,1,1
18,0,737.505,629.31,79.11,79.7,1,0,1
18,1,498.895,701.075,83.55,81.17,1,0,1
18,2,388.04,1320.135,71.78,69.13,1,1,1
19,0,740.93,648.595,78.94,79.95,1,0,1
19,1,498.875,682.225,83.55,81.83,1,0,1
19,2,390.535,1333.33,72.31,70.16,1,1,1
20,0,744.245,669.31,79.25,80.38,1,0,1
20,1,497.57,666.415,82.18,81.17,1,0,1
20,2,393.49,1347.555,71.94,70.19,1,1,1
21,0,746.83,689.045,78.9,79.85,1,0,1
21,1,497.175,651.855,82.15,82.27,1,0,1
21,2,398.215,1358.07,71.43,70.08,1,1,1
22,0,749.65,709.34,79.24,78.02,1,0,1
22,1,497.155,634.99,80.73,79.42,1,0,1
22,2,401.175,1367.69,69.21,68.62,1,1,1
23,0,751.72,732.215,78.5,77.65,1,0,1
23,1,496.825,619.715,80.85,80.35,1,0,1
23,2,405.9,1378.63,69.84,70.84,1,1,1
24,0,754.55,754.93,77.54,77.38,1,0,1
24,1,496.08,606.43,80.76,80.44,1,0,1
24,2,411.88,1386.69,69.68,70.1,1,1,1
25,0,757.345,779.12,76.37,74.32,1,0,1
25,1,496.2,595.12,81.38,81.46,1,0,1
25,2,417.03,1394.68,70.16,70.66,1,1,1
26,0,760.045,803.82,76.83,78.08,1,0,1
26,1,495.36,582.025,80.18,81.07,1,0,1
26,2,421.855,1401.53,70.59,72.92,1,1,1
27,0,765.175,827.54,78.17,74.12,1,0,1
27,1,495.12,571.72,81.52,81.44,1,0,1
27,2,429.43,1406.98,68.86,73.68,1,1,1
28,0,765.27,852.13,54.3,73.76,1,0,1
28,1,494.065,562.55,82.43,83.06,1,0,1
28,2,434.685,1411.595,69.63,74.01,1,1,1
29,0,765.025,875.345,59.97,65.11,1,1,1
29,1,493.74,553.38,81.98,84.16,1,0,1
29,2,442.005,1414.33,69.17,74.14,1,1,1
30,0,769.61,898.575,62.6,67.75,1,1,1
30,1,493.045,545.685,81.73,82.75,1,0,1
30,2,447.495,1415.665,69.37,75.35,1,1,1
31,0,774.515,907.085,62.25,60.55,1,1,1
31,1,493.195,538.12,81.23,81.5,1,0,1
31,2,453.625,1415.79,69.75,74.48,1,1,1
32,0,778.665,920.14,60.83,62.78,1,1,1
32,1,492.49,531.25,80.66,82.28,1,0,1
32,2,459.53,1414.455,69.8,74.11,1,1,1
33,0,783.075,930.945,59.39,63.23,1,1,1
33,1,492.34,525.97,81.26,81.62,1,0,1
33,2,466.555,1411.385,70.49,73.95,1,1,1
34,0,792.02,944.11,76.84,73.16,1,1,1
34,1,491.535,521.025,81.41,81.45,1,0,1
34,2,472.87,1407.485,70.66,73.57,1,1,1
35,0,794.865,956.96,80.77,79.36,1,1,1
35,1,491.175,515.625,81.37,80.91,1,0,1
35,2,480.09,1401.605,71.58,73.93,1,1,1
36,0,795.24,969.8,81.86,77.82,1,1,1
36,1,491.0,512.255,80.78,79.93,1,0,1
36,2,487.065,1393.435,71.67,74.55,1,1,1
37,0,797.97,979.025,78.98,72.45,1,1,1
37,1,490.15,509.73,81.34,80.84,1,0,1
37,2,494.815,1384.275,72.29,73.57,1,1,1
38,0,794.485,998.02,84.11,78.08,1,1,1
38,1,489.775,507.755,80.75,81.47,1,0,1
38,2,501.65,1372.77,72.6,72.82,1,1,1
39,0,798.755,1009.675,85.05,77.53,1,1,1
39,1,489.21,506.34,80.94,81.58,1,0,1
39,2,508.195,1360.7,72.95,73.62,1,1,1
40,0,796.35,1024.78,91.74,75.9,1,1,1
40,1,488.36,506.045,80.86,80.83,1,0,1
40,2,515.84,1347.085,73.9,74.73,1,1,1
41,0,793.075,1047.015,90.99,91.71,1,1,1
41,1,487.735,505.445,80.15,80.89,1,0,1
41,2,523.28,1329.46,73.56,72.68,1,1,1
42,0,794.805,1064.1,99.67,93.52,1,1,1
42,1,486.78,507.005,79.68,80.55,1,0,1
42,2,530.15,1312.005,74.42,71.89,1,1,1
43,0,788.445,1080.505,91.39,89.57,1,1,1
43,1,486.14,508.93,79.32,79.96,1,0,1
43,2,536.34,1291.235,75.6,73.13,1,1,1
44,0,798.975,1096.63,107.59,98.4,1,1,1
44,1,486.11,512.29,80.18,80.22,1,0,1
44,2,542.345,1270.335,76.99,78.61,1,1,1
45,0,796.88,1115.075,109.66,96.19,1,1,1
45,1,485.215,516.385,79.89,80.09,1,0,1
45,2,548.925,1244.21,77.29,77.04,1,1,1
46,0,795.31,1120.745,100.72,97.83,1,1,1
46,1,484.39,520.125,79.78,80.73,1,0,1
46,2,555.565,1216.895,77.77,77.11,1,1,1
47,0,774.58,1136.785,101.36,89.07,1,1,1
47,1,483.93,525.405,79.88,80.89,1,0,1
47,2,561.335,1187.925,79.07,77.03,1,1,1
48,0,791.81,1134.215,92.18,65.13,1,1,1
48,1,483.815,532.735,80.03,82.95,1,0,1
48,2,566.62,1154.33,80.6,77.98,1,1,1
49,0,785.125,1149.32,79.39,61.22,1,1,1
49,1,482.955,537.95,79.73,81.44,1,0,1
49,2,572.005,1120.85,80.71,81.8,1,1,1
50,0,783.485,1163.285,69.97,49.45,1,1,1
50,1,482.25,545.825,79.56,80.65,1,0,1
50,2,576.48,1088.96,81.06,82.06,1,1,1
51,0,786.135,1178.15,76.21,51.06,1,1,1
51,1,481.875,553.025,79.57,83.19,1,0,1
51,2,582.355,1055.43,81.29,81.48,1,1,1
52,0,775.68,1202.655,84.94,61.83,1,1,1
52,1,481.595,560.3,79.03,79.14,1,0,1
52,2,586.03,1023.95,80.8,83.22,1,1,1
53,0,771.795,1223.14,85.63,76.96,1,1,1
53,1,479.69,568.95,79.14,77.6,1,0,1
